Rule Category,Rule ID,Business Rule,Priority,Validation Type,Error Message,Implementation Notes,File Reference
Node Creation,NC001,Users can add source nodes representing customer networks,High,Required,Source node required for connection,Minimum 1 source node needed,src/components/network-designer/NetworkDesigner.tsx
Node Creation,NC002,Users can add destination nodes representing cloud providers,High,Required,Destination node required for connection,Minimum 1 destination node needed,src/components/network-designer/NetworkDesigner.tsx
Node Creation,NC003,Users can add router nodes for traffic routing,Medium,Optional,N/A,Optional for simple topologies,src/components/network-designer/NetworkDesigner.tsx
Node Creation,NC004,Users can add network nodes for specialized functions,Low,Optional,N/A,For advanced configurations,src/components/network-designer/NetworkDesigner.tsx
Node Creation,NC005,Node names must be unique within the canvas,High,Validation,Node name already exists,Prevent duplicate naming,src/components/network-designer/Node.tsx

Node Positioning,NP001,Nodes must be placed within canvas boundaries,High,Validation,Node position out of bounds,Enforce canvas limits,src/components/network-designer/Canvas.tsx
Node Positioning,NP002,Nodes automatically snap to grid when enabled,Medium,Auto-correction,N/A,20px grid alignment,src/components/network-designer/Canvas.tsx
Node Positioning,NP003,Dragged nodes stay within visible canvas area,High,Constraint,Cannot move node outside canvas,Boundary enforcement,src/components/network-designer/Canvas.tsx
Node Positioning,NP004,Nodes cannot overlap other nodes,Medium,Validation,Node position conflicts with existing node,Prevent visual overlap,src/components/network-designer/Canvas.tsx

Connection Rules,CR001,Connections require both source and target nodes,High,Validation,Both source and target nodes required,Cannot create incomplete edges,src/components/network-designer/NetworkDesigner.tsx
Connection Rules,CR002,Users cannot connect a node to itself,High,Validation,Cannot connect node to itself,Prevent self-loops,src/components/network-designer/NetworkDesigner.tsx
Connection Rules,CR003,Multiple connections between same nodes are allowed,Medium,Business Logic,N/A,Support redundant paths,src/components/network-designer/Edge.tsx
Connection Rules,CR004,Connection bandwidth must be specified,High,Required,Bandwidth specification required,Default to 1 Gbps if not set,src/components/network-designer/Edge.tsx
Connection Rules,CR005,Connection type must match node compatibility,High,Validation,Incompatible connection type for selected nodes,Validate source/destination types,src/components/network-designer/NetworkDesigner.tsx

Bandwidth Rules,BR001,Available bandwidth options: 1 Gbps to 1 Tbps,High,Constraint,Invalid bandwidth selection,Predefined options only,src/components/network-designer/panels/ConfigurationPanel.tsx
Bandwidth Rules,BR002,Total bandwidth cannot exceed connection capacity,High,Validation,Total bandwidth exceeds connection limit,Sum all link bandwidths,src/components/connection/links/LinkSection.tsx
Bandwidth Rules,BR003,Link bandwidth allocation must be positive,High,Validation,Bandwidth must be greater than 0,Minimum 0.1 Gbps,src/components/connection/modals/VLANModal.tsx
Bandwidth Rules,BR004,Bandwidth utilization warnings at 80% threshold,Medium,Warning,Approaching bandwidth limit,Visual warning indicators,src/components/connection/ConnectionCard.tsx
Bandwidth Rules,BR005,Bandwidth utilization errors at 95% threshold,High,Error,Bandwidth limit exceeded,Block new allocations,src/components/connection/ConnectionCard.tsx

Security Rules,SR001,All connections must have encryption enabled,High,Required,Encryption must be enabled,Default AES-256 encryption,src/components/network-designer/panels/configuration/tabs/SecurityTab.tsx
Security Rules,SR002,Firewall protection is enabled by default,High,Default,N/A,Auto-enable firewall rules,src/components/network-designer/panels/configuration/tabs/SecurityTab.tsx
Security Rules,SR003,DDoS protection available for premium connections,Medium,Feature,N/A,Optional premium feature,src/components/wizard/screens/AdvancedSettings.tsx
Security Rules,SR004,IPSec can be enabled for VPN connections,Medium,Optional,N/A,VPN-specific security,src/components/network-designer/panels/configuration/tabs/SecurityTab.tsx
Security Rules,SR005,Access control lists must be configured for routers,Medium,Required,ACL configuration required for router nodes,Security compliance requirement,src/components/network-designer/panels/configuration/tabs/SecurityTab.tsx

Performance Rules,PR001,Latency targets: <1ms (Ultra) to <50ms (Economy),High,Configuration,Invalid latency target,Predefined performance tiers,src/components/network-designer/panels/configuration/tabs/PerformanceTab.tsx
Performance Rules,PR002,Packet loss targets: <0.001% to <0.5%,High,Configuration,Invalid packet loss target,Quality service levels,src/components/network-designer/panels/ConfigurationPanel.tsx
Performance Rules,PR003,QoS profiles can be assigned per connection,Medium,Feature,N/A,Voice/Video/Data priorities,src/components/network-designer/panels/configuration/tabs/PerformanceTab.tsx
Performance Rules,PR004,Burst capacity can be 100-500% of base throughput,Medium,Range,Burst capacity out of range,Performance optimization,src/components/network-designer/panels/configuration/tabs/PerformanceTab.tsx

Validation Rules,VR001,At least one connection must exist before completion,High,Validation,Network must have at least one connection,Prevent empty designs,src/components/network-designer/NetworkDesigner.tsx
