Category,Term/Word,Current Icon,Usage Context,Priority,Notes,File Location
Navigation,Create,PlusCircle,Main navigation,High,Primary action button,src/components/navigation/MainNav.tsx
Navigation,Manage,Settings,Main navigation,High,Primary navigation item,src/components/navigation/MainNav.tsx
Navigation,Monitor,BarChart2,Main navigation,High,Primary navigation item,src/components/navigation/MainNav.tsx
Navigation,Configure,SlidersHorizontal,Main navigation,High,Primary navigation item,src/components/navigation/MainNav.tsx
Navigation,Search,Search,Search functionality,High,Used throughout app,src/components/navigation/SearchBar.tsx
Navigation,Menu,Menu,Mobile menu toggle,High,Mobile navigation,src/components/navigation/MainNav.tsx
Navigation,Back,ArrowLeft,Navigation back button,High,Used in details pages,src/components/navigation/SubNav.tsx
Navigation,Notifications,Bell,Notification button,High,Header notifications,src/components/navigation/NotificationsButton.tsx
Navigation,Help,HelpCircle,Help and support,High,Help resources,src/components/navigation/HelpButton.tsx
Navigation,User Profile,User,User menu,High,User account access,src/components/navigation/UserMenu.tsx

Connection Types,Internet to Cloud,Globe,Connection type selection,High,Primary connection type,src/components/wizard/screens/ConnectionTypeSelection.tsx
Connection Types,Cloud to Cloud,Lock,Connection type selection,Medium,Future connection type,src/components/wizard/screens/ConnectionTypeSelection.tsx
Connection Types,VPN to Cloud,Lock,Connection type selection,Medium,Future connection type,src/components/wizard/screens/ConnectionTypeSelection.tsx
Connection Types,DataCenter to Cloud,Network,Connection type selection,Medium,Future connection type,src/components/wizard/screens/ConnectionTypeSelection.tsx
Connection Types,Site to Cloud,Network,Connection type selection,Medium,Future connection type,src/components/wizard/screens/ConnectionTypeSelection.tsx
Connection Types,Direct Connect,Network,Connection visualization,High,Connection edge type,src/components/network-designer/Edge.tsx
Connection Types,Cloud Router,Router,Connection visualization,High,Connection edge type,src/components/network-designer/Edge.tsx
Connection Types,Ultra-Low Latency,Zap,Connection visualization,Medium,Premium connection type,src/components/network-designer/Edge.tsx
Connection Types,Quantum Secure,Shield,Connection visualization,Medium,Secure connection type,src/components/network-designer/Edge.tsx
Connection Types,Backbone,Network,Connection visualization,Medium,Infrastructure connection,src/components/network-designer/Edge.tsx
Connection Types,AVPN,Network,Connection visualization,Medium,VPN connection type,src/components/network-designer/Edge.tsx

Cloud Providers,AWS,Cloud,Provider selection,High,Major cloud provider,src/components/wizard/screens/ProviderSelection.tsx
Cloud Providers,Azure,Cloud,Provider selection,High,Major cloud provider,src/components/wizard/screens/ProviderSelection.tsx
Cloud Providers,Google Cloud,Cloud,Provider selection,High,Major cloud provider,src/components/wizard/screens/ProviderSelection.tsx
Cloud Providers,Oracle Cloud,Cloud,Provider selection,Medium,Future cloud provider,src/components/wizard/screens/ProviderSelection.tsx
Cloud Providers,IBM Cloud,Cloud,Provider selection,Medium,Future cloud provider,src/components/wizard/screens/ProviderSelection.tsx
Cloud Providers,Equinix,Server,Colocation provider,Medium,Infrastructure provider,src/components/wizard/screens/ProviderSelection.tsx
Cloud Providers,Digital Realty,Building,Data center provider,Medium,Infrastructure provider,src/components/wizard/screens/ProviderSelection.tsx

Status Indicators,Active,CheckCircle,Status display,High,Connection status,src/components/connection/ConnectionCard.tsx
Status Indicators,Inactive,XCircle,Status display,High,Connection status,src/components/connection/ConnectionCard.tsx
Status Indicators,Pending,Clock,Status display,High,Processing status,src/components/connection/ConnectionCard.tsx
Status Indicators,Provisioning,Settings,Status display,Medium,Setup status,src/components/connection/vnf/VNFCard.tsx
Status Indicators,Error,AlertTriangle,Error states,High,Error indication,src/components/connection/vnf/VNFCard.tsx
Status Indicators,Healthy,CheckCircle,Health status,High,System health,src/components/group/card/GroupCardMetrics.tsx
Status Indicators,Warning,AlertTriangle,Warning status,High,Warning indication,src/components/group/card/GroupCardMetrics.tsx
Status Indicators,Critical,AlertCircle,Critical status,High,Critical alerts,src/components/group/card/GroupCardMetrics.tsx

Actions,Edit,Edit2,Edit functionality,High,Edit actions throughout,src/components/common/OverflowMenu.tsx
Actions,Delete,Trash2,Delete functionality,High,Delete actions throughout,src/components/common/OverflowMenu.tsx
Actions,Download,Download,Export functionality,High,Data export,src/components/ConnectionGrid.tsx
Actions,Upload,Upload,Import functionality,Medium,Data import,src/components/wizard/screens/AdvancedSettings.tsx
Actions,Save,Save,Save functionality,High,Save operations,src/components/network-designer/Toolbar.tsx
Actions,Cancel,X,Cancel operations,High,Cancel dialogs,src/components/common/Modal.tsx
Actions,Refresh,RefreshCw,Data refresh,High,Refresh data,src/components/monitoring/tabs/RefreshControls.tsx
Actions,Filter,Filter,Filter controls,High,Data filtering,src/components/common/FilterButton.tsx
Actions,Export,Download,Data export,High,Export functionality,src/components/GroupGrid.tsx
Actions,Import,Upload,Data import,Medium,Import functionality,src/components/wizard/screens/AdvancedSettings.tsx

Network Components,Router,Router,Network equipment,High,Network infrastructure,src/components/network-designer/Node.tsx
Network Components,Switch,Network,Network equipment,Medium,Network switching,Not implemented
Network Components,Gateway,Globe,Network gateway,Medium,Network access point,Not implemented
Network Components,Firewall,Shield,Security appliance,High,Network security,src/components/connection/vnf/VNFCard.tsx
Network Components,Load Balancer,ArrowUpDown,Traffic distribution,Medium,Traffic management,Not implemented
Network Components,VPN Gateway,Lock,VPN endpoint,Medium,Secure connectivity,Not implemented
Network Components,NAT Gateway,Network,Address translation,Medium,Network translation,src/components/connection/vnf/VNFCard.tsx

VNF Types,Firewall,Shield,Virtual firewall,High,Security function,src/components/connection/vnf/VNFCard.tsx
VNF Types,SD-WAN,Globe,Software-defined WAN,High,Network function,src/components/connection/vnf/VNFCard.tsx
VNF Types,Router,Router,Virtual router,High,Routing function,src/components/connection/vnf/VNFCard.tsx
VNF Types,Virtual NAT,Network,Virtual NAT,High,Translation function,src/components/connection/vnf/VNFCard.tsx
VNF Types,Custom VNF,ServerCog,Custom function,Medium,User-defined function,src/components/connection/vnf/VNFCard.tsx

Performance Metrics,Latency,Activity,Network delay,High,Performance measurement,src/components/monitoring/metrics/NetworkMetrics.tsx
Performance Metrics,Bandwidth,ArrowUpDown,Data throughput,High,Capacity measurement,src/components/monitoring/metrics/NetworkMetrics.tsx
Performance Metrics,Packet Loss,Signal,Data loss rate,High,Reliability measurement,src/components/monitoring/metrics/PacketLossAnalysis.tsx
Performance Metrics,Jitter,Radio,Delay variation,High,Quality measurement,src/components/monitoring/metrics/JitterAnalysis.tsx
Performance Metrics,Uptime,Clock,Availability,High,Service availability,src/components/monitoring/metrics/NetworkMetrics.tsx
Performance Metrics,Throughput,TrendingUp,Data rate,High,Performance indicator,src/components/monitoring/metrics/NetworkMetrics.tsx
Performance Metrics,Utilization,BarChart2,Resource usage,High,Capacity usage,src/components/monitoring/metrics/BandwidthUtilization.tsx
Performance Metrics,Error Rate,AlertTriangle,Failure rate,Medium,Error measurement,src/components/monitoring/metrics/ErrorRateChart.tsx

Security Features,Encryption,Lock,Data protection,High,Security measure,src/components/connection/tabs/ConnectionOverview.tsx
Security Features,DDoS Protection,Shield,Attack protection,High,Security service,src/components/connection/tabs/ConnectionOverview.tsx
Security Features,IPSec,Lock,VPN security,Medium,Protocol security,src/components/network-designer/panels/configuration/tabs/SecurityTab.tsx
Security Features,Access Control,Key,Permission management,High,Security control,src/components/connection/tabs/AccessConfiguration.tsx
Security Features,Compliance,ShieldCheck,Regulatory compliance,Medium,Compliance status,src/components/monitoring/reporting/reports/ComplianceReports.tsx
Security Features,Audit,FileText,Security audit,Medium,Audit logging,src/components/monitoring/reporting/reports/ComplianceReports.tsx

Locations,US East,MapPin,Geographic region,High,Data center location,src/components/wizard/screens/ProviderSelection.tsx
Locations,US West,MapPin,Geographic region,High,Data center location,src/components/wizard/screens/ProviderSelection.tsx
Locations,EU West,MapPin,Geographic region,High,Data center location,src/components/wizard/screens/ProviderSelection.tsx
Locations,Asia Pacific,MapPin,Geographic region,High,Data center location,src/components/wizard/screens/ProviderSelection.tsx

User Management,Users,Users,User management,High,User administration,src/components/configure/users/UserList.tsx
User Management,Roles,UserCheck,Role management,High,Permission roles,src/components/configure/users/RoleManagement.tsx
User Management,Permissions,Key,Access permissions,High,Security permissions,src/components/connection/tabs/AccessConfiguration.tsx
User Management,Groups,Layers,User groups,High,Group organization,src/components/GroupGrid.tsx
User Management,Profile,User,User profile,High,User account,src/components/profile/UserProfile.tsx

Billing,Cost,DollarSign,Financial data,High,Billing information,src/components/monitoring/BillingMetrics.tsx
Billing,Invoice,Receipt,Billing document,High,Invoice management,src/components/monitoring/reporting/reports/billing/InvoiceTable.tsx
Billing,Payment,CreditCard,Payment method,High,Payment processing,src/components/connection/tabs/BillingConfiguration.tsx
Billing,Subscription,Calendar,Service subscription,Medium,Subscription management,src/components/configure/billing/SubscriptionDetails.tsx
Billing,Usage,BarChart2,Resource usage,High,Usage tracking,src/components/configure/billing/UsageMetrics.tsx

Monitoring,Alerts,Bell,System alerts,High,Alert notifications,src/components/monitoring/tabs/AlertsTab.tsx
