Event Category,Event Name,Event Description,Trigger/When,User Properties,Event Properties,Funnel,Priority,Implementation Notes
General Navigation,Page View,User views a page,On page load,user_id|user_role|account_type|assigned_scopes,page_name|page_url|referrer|session_id|viewport_width|viewport_height,General Usage,High,Track all page navigation
General Navigation,Tab Changed,User switches tabs,On tab click,user_id|user_role,tab_from|tab_to|page_context|session_id,General Usage,Medium,Track tab navigation within pages
General Navigation,Menu Opened,User opens navigation menu,On menu click,user_id|user_role,menu_type|menu_location|session_id,General Usage,Low,Mobile and desktop menus
General Navigation,Search Performed,User performs search,On search submit,user_id|user_role,search_query|search_results_count|search_category|filter_applied|session_id,Search Funnel,High,Track all search interactions
General Navigation,Search Result Clicked,User clicks search result,On result click,user_id|user_role,search_query|result_position|result_type|result_id|session_id,Search Funnel,High,Measure search effectiveness
General Navigation,Filter Applied,User applies filter,On filter change,user_id|user_role,filter_category|filter_value|results_before|results_after|page_context|session_id,General Usage,Medium,Track filtering behavior
General Navigation,Sort Applied,User sorts data,On sort change,user_id|user_role,sort_field|sort_direction|page_context|session_id,General Usage,Low,Track sorting preferences
General Navigation,Breadcrumb Clicked,User navigates via breadcrumb,On breadcrumb click,user_id|user_role,breadcrumb_level|destination_page|session_id,General Usage,Low,Track navigation patterns

CREATE - Wizard,Wizard Entry Point,User initiates connection creation,On Create Connection button click,user_id|user_role|account_type,entry_location|session_id|time_of_day,Connection Creation Wizard,Critical,Track where users start creation
CREATE - Wizard,Wizard Started,User begins connection wizard,On wizard modal open,user_id|user_role|account_type,wizard_version|entry_point|session_id|timestamp,Connection Creation Wizard,Critical,Start of wizard funnel
CREATE - Wizard,Wizard Step 1 Viewed,User views connection type selection,On step 1 display,user_id|user_role,step_name|step_number|session_id|time_in_previous_step,Connection Creation Wizard,Critical,First wizard step
CREATE - Wizard,Connection Type Selected,User selects connection type,On connection type button click,user_id|user_role,connection_type|connection_category|session_id,Connection Creation Wizard,Critical,Key decision point
CREATE - Wizard,Wizard Step 2 Viewed,User views provider selection,On step 2 display,user_id|user_role,step_name|step_number|connection_type|session_id|time_in_previous_step,Connection Creation Wizard,Critical,Second wizard step
CREATE - Wizard,Provider A Selected,User selects first provider,On provider dropdown selection,user_id|user_role,provider_name|provider_type|connection_type|session_id,Connection Creation Wizard,Critical,Provider selection
CREATE - Wizard,Provider B Selected,User selects second provider,On provider dropdown selection,user_id|user_role,provider_name|provider_type|connection_type|session_id,Connection Creation Wizard,Critical,Provider selection
CREATE - Wizard,Provider Location Selected,User selects provider location,On location dropdown selection,user_id|user_role,provider|location|region|availability_zone|session_id,Connection Creation Wizard,High,Location selection
CREATE - Wizard,Wizard Step 3 Viewed,User views configuration,On step 3 display,user_id|user_role,step_name|step_number|providers_selected|session_id|time_in_previous_step,Connection Creation Wizard,Critical,Third wizard step
CREATE - Wizard,Bandwidth Selected,User selects bandwidth,On bandwidth input/slider change,user_id|user_role,bandwidth_mbps|bandwidth_tier|pricing_visible|session_id,Connection Creation Wizard,Critical,Capacity selection
CREATE - Wizard,Redundancy Option Selected,User selects redundancy,On redundancy toggle/dropdown,user_id|user_role,redundancy_type|redundancy_level|cost_impact|session_id,Connection Creation Wizard,High,HA selection
CREATE - Wizard,Advanced Settings Opened,User expands advanced options,On advanced section expand,user_id|user_role,settings_category|session_id,Connection Creation Wizard,Medium,Optional configuration
CREATE - Wizard,Advanced Setting Changed,User modifies advanced setting,On setting change,user_id|user_role,setting_name|setting_value|setting_category|session_id,Connection Creation Wizard,Medium,Detailed configuration
CREATE - Wizard,VLAN ID Entered,User specifies VLAN ID,On VLAN input change,user_id|user_role,vlan_id|vlan_range|auto_assigned|session_id,Connection Creation Wizard,Medium,Network segmentation
CREATE - Wizard,QoS Policy Selected,User selects QoS policy,On QoS dropdown selection,user_id|user_role,qos_policy|qos_class|session_id,Connection Creation Wizard,Medium,Traffic management
CREATE - Wizard,Routing Policy Selected,User selects routing policy,On routing dropdown selection,user_id|user_role,routing_policy|routing_protocol|session_id,Connection Creation Wizard,High,Routing configuration
CREATE - Wizard,Wizard Step 4 Viewed,User views review screen,On step 4 display,user_id|user_role,step_name|step_number|configuration_complete|session_id|time_in_previous_step,Connection Creation Wizard,Critical,Review step
CREATE - Wizard,Pricing Preview Viewed,User views cost estimate,On pricing display,user_id|user_role,estimated_monthly_cost|estimated_setup_cost|billing_model|session_id,Connection Creation Wizard,Critical,Cost transparency
CREATE - Wizard,Configuration Edited from Review,User returns to edit configuration,On edit button click from review,user_id|user_role,step_returned_to|field_to_edit|session_id,Connection Creation Wizard,High,Configuration refinement
CREATE - Wizard,Connection Name Entered,User names the connection,On connection name input,user_id|user_role,name_length|has_special_chars|session_id,Connection Creation Wizard,Medium,Identification
CREATE - Wizard,Connection Description Entered,User adds description,On description input,user_id|user_role,description_length|session_id,Connection Creation Wizard,Low,Documentation
CREATE - Wizard,Tags Added,User adds tags to connection,On tag input,user_id|user_role,tag_count|tag_values|session_id,Connection Creation Wizard,Low,Organization
CREATE - Wizard,Group Assignment Selected,User assigns to group,On group dropdown selection,user_id|user_role,group_id|group_name|session_id,Connection Creation Wizard,Medium,Grouping
CREATE - Wizard,Terms Accepted,User accepts terms,On checkbox toggle,user_id|user_role,terms_version|session_id,Connection Creation Wizard,Critical,Legal compliance
CREATE - Wizard,Connection Created - Success,Connection successfully created,On API success response,user_id|user_role|account_type,connection_id|connection_type|bandwidth|provider_a|provider_b|total_cost|wizard_duration|session_id,Connection Creation Wizard,Critical,Successful funnel completion
CREATE - Wizard,Connection Creation Failed,Connection creation failed,On API error response,user_id|user_role,error_code|error_message|failure_reason|configuration_attempted|session_id,Connection Creation Wizard,Critical,Track failures for improvement
CREATE - Wizard,Wizard Step Validation Error,Validation error on step,On validation failure,user_id|user_role,step_number|field_name|error_type|error_message|session_id,Connection Creation Wizard,High,Track UX friction points
CREATE - Wizard,Wizard Back Button Clicked,User navigates backward in wizard,On back button click,user_id|user_role,from_step|to_step|session_id,Connection Creation Wizard,Medium,Navigation patterns
CREATE - Wizard,Wizard Abandoned,User exits without completing,On wizard close/navigation away,user_id|user_role,last_step_completed|last_step_name|time_in_wizard|abandonment_trigger|session_id,Connection Creation Wizard,Critical,Identify drop-off points
CREATE - Wizard,Help Icon Clicked in Wizard,User seeks help during wizard,On help icon click,user_id|user_role,step_number|help_topic|session_id,Connection Creation Wizard,High,Identify confusing steps
CREATE - Wizard,Tooltip Viewed in Wizard,User hovers over tooltip,On tooltip trigger,user_id|user_role,tooltip_field|tooltip_content|step_number|session_id,Connection Creation Wizard,Low,Track information needs
CREATE - Wizard,Wizard Saved as Draft,User saves incomplete wizard,On save draft button,user_id|user_role,step_completed_to|draft_id|session_id,Connection Creation Wizard,Medium,Track delayed completions
CREATE - Wizard,Wizard Draft Resumed,User resumes saved draft,On draft selection,user_id|user_role,draft_id|draft_age|step_resume_from|session_id,Connection Creation Wizard,Medium,Track completion patterns

CREATE - Designer,Designer Opened,User opens network designer,On designer entry,user_id|user_role|account_type,entry_point|canvas_empty|session_id,Network Designer Funnel,Critical,Track designer usage
CREATE - Designer,Designer Canvas Loaded,Canvas ready for interaction,On canvas initialization complete,user_id|user_role,load_time_ms|existing_elements|session_id,Network Designer Funnel,High,Performance tracking
CREATE - Designer,Template Library Opened,User opens template selection,On template button click,user_id|user_role,session_id,Network Designer Funnel,High,Template usage
CREATE - Designer,Template Previewed,User previews template,On template hover/click,user_id|user_role,template_id|template_name|template_category|preview_duration|session_id,Network Designer Funnel,High,Template exploration
CREATE - Designer,Template Selected,User applies template to canvas,On template apply button,user_id|user_role,template_id|template_name|template_category|node_count|session_id,Network Designer Funnel,Critical,Template adoption
CREATE - Designer,Node Palette Opened,User opens node selection,On node palette toggle,user_id|user_role,session_id,Network Designer,Medium,Component selection
CREATE - Designer,Node Dragged to Canvas,User drags node from palette,On drag start,user_id|user_role,node_type|session_id,Network Designer,Medium,Design interaction
CREATE - Designer,Node Added to Canvas,User places node on canvas,On drag drop/click,user_id|user_role,node_type|node_id|position_x|position_y|canvas_node_count|session_id,Network Designer,Critical,Topology creation
CREATE - Designer,Node Selected,User selects node for editing,On node click,user_id|user_role,node_id|node_type|session_id,Network Designer,Medium,Node interaction
CREATE - Designer,Node Properties Opened,User opens node config panel,On properties panel open,user_id|user_role,node_id|node_type|session_id,Network Designer,High,Configuration access
CREATE - Designer,Node Property Changed,User modifies node property,On property field change,user_id|user_role,node_id|node_type|property_name|property_value|session_id,Network Designer,High,Node configuration
CREATE - Designer,Node Deleted,User removes node from canvas,On delete button/key press,user_id|user_role,node_id|node_type|node_age_seconds|session_id,Network Designer,Medium,Design refinement
CREATE - Designer,Node Duplicated,User copies node,On duplicate action,user_id|user_role,source_node_id|node_type|session_id,Network Designer,Low,Design efficiency
CREATE - Designer,Node Moved,User repositions node on canvas,On drag end,user_id|user_role,node_id|node_type|old_position|new_position|session_id,Network Designer,Low,Layout adjustment
CREATE - Designer,Connection Initiated,User starts connecting nodes,On connection handle drag start,user_id|user_role,source_node_id|source_node_type|session_id,Network Designer,High,Link creation
CREATE - Designer,Connection Created,User connects two nodes,On connection handle drag end,user_id|user_role,source_node_id|target_node_id|connection_type|session_id,Network Designer,Critical,Topology linking
CREATE - Designer,Connection Deleted,User removes connection,On connection delete,user_id|user_role,source_node_id|target_node_id|connection_age_seconds|session_id,Network Designer,Medium,Design refinement
CREATE - Designer,Connection Properties Opened,User configures connection,On connection click,user_id|user_role,connection_id|source_node|target_node|session_id,Network Designer,High,Link configuration
CREATE - Designer,Connection Property Changed,User modifies connection property,On property change,user_id|user_role,connection_id|property_name|property_value|session_id,Network Designer,High,Link configuration
CREATE - Designer,Canvas Zoomed,User changes zoom level,On zoom control interaction,user_id|user_role,zoom_level|zoom_direction|session_id,Network Designer,Low,Navigation
CREATE - Designer,Canvas Panned,User moves viewport,On canvas drag,user_id|user_role,pan_distance|session_id,Network Designer,Low,Navigation
CREATE - Designer,Canvas Reset View,User resets to default view,On reset button click,user_id|user_role,session_id,Network Designer,Low,Navigation
CREATE - Designer,Design Validated,User validates design,On validate button click,user_id|user_role,node_count|connection_count|validation_errors|validation_warnings|session_id,Network Designer Funnel,High,Design quality check
CREATE - Designer,Validation Error Found,Design has validation errors,On validation run,user_id|user_role,error_type|error_count|affected_nodes|session_id,Network Designer Funnel,High,Design quality issues
CREATE - Designer,Validation Error Fixed,User resolves validation error,After error resolution,user_id|user_role,error_type|resolution_method|session_id,Network Designer Funnel,Medium,Error resolution
CREATE - Designer,AI Recommendation Engine Opened,User requests AI suggestions,On AI button click,user_id|user_role,current_design_state|node_count|session_id,AI Features,Critical,AI engagement
CREATE - Designer,AI Analyzing Design,AI is processing design,On AI analysis start,user_id|user_role,analysis_type|node_count|connection_count|session_id,AI Features,High,AI processing
CREATE - Designer,AI Recommendations Displayed,AI shows suggestions,On AI analysis complete,user_id|user_role,recommendation_count|recommendation_categories|analysis_duration|session_id,AI Features,Critical,AI results
CREATE - Designer,AI Recommendation Viewed,User reviews AI suggestion,On recommendation expand/hover,user_id|user_role,recommendation_id|recommendation_type|recommendation_priority|session_id,AI Features,High,AI engagement
CREATE - Designer,AI Recommendation Accepted,User applies AI suggestion,On recommendation apply button,user_id|user_role,recommendation_id|recommendation_type|impact_node_count|session_id,AI Features,Critical,AI adoption
CREATE - Designer,AI Recommendation Rejected,User dismisses AI suggestion,On recommendation dismiss,user_id|user_role,recommendation_id|recommendation_type|rejection_reason|session_id,AI Features,Critical,AI accuracy feedback
CREATE - Designer,AI Recommendation Modified,User adjusts AI suggestion before applying,On recommendation edit,user_id|user_role,recommendation_id|modification_type|session_id,AI Features,High,AI suggestion refinement
CREATE - Designer,Design Saved,User saves network design,On save button click,user_id|user_role|account_type,design_id|design_name|node_count|connection_count|template_used|ai_recommendations_used|session_id,Network Designer Funnel,Critical,Design persistence
CREATE - Designer,Design Saved as Template,User creates reusable template,On save as template button,user_id|user_role,template_name|node_count|connection_count|template_category|session_id,Network Designer Funnel,High,Template creation
CREATE - Designer,Design Exported,User exports design,On export button click,user_id|user_role,export_format|node_count|connection_count|session_id,Network Designer,Medium,Design sharing
